vmstat output:
Run 1: -r 10000 -c 10000 -i r -s n:
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  26872  47588    804   5600    0    0     0     0    9   12  0  0 100  0  0
Run 7: -r 100 -c 1000000 -i r -s n:
 2  1 115676   1680     44    424  268 113416  4816 113416  816 1608 46 21  5 28  0
 1  1 239520   2688     44   1504  468 104452  5524 104452  751 1719 33 21  0 46  0
 2  1 354520   2064     44    276  412 123296  5304 123296  789 1710 41 25  0 35  0
End of run 7.
 0  0  22112  52384    912   5428 1476 10960  6940 10960  426  832  2  6 73 19  0
 0  0  22112  52384    912   5428    0    0     0     0    9   10  0  0 100  0  0
Run 8: -r 100 -c 1000000 -i r -s r:
 2  1 107336   2312     44    220  324 104280  5680 104280  691 1344 40 15 23 22  0
 1  1 234160   2332     44    532  360 113604 11368 113604  829 2001 30 20  0 50  0
 2  0 350708   2036     44    240  412 115608 11620 115608  824 1853 39 25  0 35  0
 0  1 361832   1652     44    436 34392 42224 38660 42224 1588 4332  4 11  0 85  0
 0  1 365788   2808     44    616 35628 37552 37544 37552 1556 4318  2 11  0 87  0
 0  1 365088   3060     44    556 33372 32460 38172 32460 1544 4318  2  8  0 90  0
 0  1 365180   2784     44    604 37800 36768 40496 36768 1642 4595  2  8  0 90  0
 0  1 362660   3324     44    264 38948 36200 42280 36200 1740 4776  2 12  0 86  0
 1  2 368868   2040     44    252 40220 46252 43680 46252 1702 4815  2 13  0 84  0
 0  1 366988   3160     44    312 38796 36668 41124 36668 1653 4615  0  7  0 93  0
 0  1 371232   3460     44    540 36928 40420 38308 40420 1626 4531  2  8  0 90  0
 2  1 367580   2108     52    672 43820 42024 50876 42024 1845 5177  4  9  0 87  0
 0  1 371752   2572     44    380 41112 42860 43260 42860 1889 5294  2 12  0 86  0
End of run 8.
 0  0  31384  43736    804   5080 17136 12120 21884 12120 1039 2701  2  6 43 49  0
 0  0  31352  43440    804   5324   56    0   300     0   33   75  0  0 99  1  0
Run 9: -r 100 -c 1000000 -i r -s c:
 0  2  60980   2124     44   1112  164 38900  2376 38900  306  580 25  8 59  9  0
 0  2 154060   1408     44   1060  428 98468 11948 98468  770 1675 26 22  0 51  0
 2  0 248752   1840     44    312  288 101092  5956 101092  528 1234 31 19  0 50  0
 0  1 365856   3304     44    584 1016 106488  3876 106488  837 1769 33 23  0 44  0
 0  1 371960   1724     44    456 15536 20076 17784 20076 2263 6350  2  5  0 93  0
 2  1 360592   1856     44    340 26552 14836 29956 14836 1701 4821  4  8  0 88  0
 1  2 366752   2276     48   1488 25396 29860 29932 29860 1903 4971  5  9  0 86  0
 1  1 368136   1856    188   1724 24104 24192 25996 24192 1747 4863  4  9  0 87  0
 1  1 379764   6924     44    512 26464 36700 28856 36700 1756 4754  4  6  0 89  0
 1  1 373948   3724     44    384 29704 22060 31012 22060 1919 5335  3  7  0 89  0
 0  1 363156   1732     44    724 20736 10048 23120 10048 1377 3835  2  4  0 93  0
 1  2 362928   2944     44   1192 25868 23396 28668 23396 1766 4885  6  9  0 86  0
 2  0 366504   2196     48    356 24996 28136 30148 28136 1777 4875  4  9  0 87  0
 0  1 363836   2296     44    364 18448 13472 21840 13472 1311 3549  4  4  0 91  0
 0  1 361908   1696     44    420 26196 24860 28200 24860 1759 4943  7  4  0 89  0
 0  1 364076   3024     44    444 16200 15876 18064 15876 1137 3087  3  3  0 94  0
